model,aid485349,aid624246,aid1461,aid885,aid924,aid485341,aid2101,aid925,aid2662,aid899,aid485360,aid602233,aid2326,aid1454,aid720553,aid504847,aid504466,aid686978,aid1479,aid720504,aid887,aid485364,aid1688,aid624297,aid2147,aid720542,aid720551,aid652104,aid1457,aid884,aid624291,aid2549,aid652106,aid504467,aid891,aid588591,aid588855,aid2675,aid1452,aid686979,aid926,aid602179,aid2100,aid651644,aid903,aid504444,aid720707,aid485314,aid912,aid652105,aid624417,aid485290,aid1471,aid1458,aid540317,aid914,aid588579,aid540276,aid743266,aid902,aid1379,aid624296,aid624287,aid485367,aid588453,aid875,aid720711,aid624202,aid651635,aid720709,aid602313,aid588342,aid720532,aid492947,aid485297,aid995,aid504332,aid651768,aid624288,aid504333,aid1631,aid1460,aid652025,aid1030,aid504327,aid938,aid504842,aid463254,aid2676,aid485313,aid1469,aid720708,aid927,aid504845,aid485294,aid485281,aid720579,aid588590,aid624170,aid504891,aid651965,aid915,aid1721,aid504339,aid743255,aid588456,aid602332,aid485353,aid686970,aid588795,aid602310,aid624173,aid493208,aid720580,aid2551,aid881,aid883,aid411,aid2517,aid2546,aid904,aid504706,aid2451,aid624171,aid1634,aid2528,aid1468
layer1_binaryECFP_GbtreeLogistic_ROCAUC_mean,0.710698,0.789477,0.798733333333,0.945748,0.870674666667,0.738340666667,0.898415666667,0.865479666667,0.873555,0.94387,0.855920333333,0.881572666667,0.699182,0.832736666667,0.736357333333,0.864327,0.891912,0.817722333333,0.743128,0.747199666667,0.831411,0.886709333333,0.76317,0.768317333333,0.848362666667,0.902229333333,0.681369666667,0.818386333333,0.859869333333,0.960695666667,0.545975666667,0.848534,0.76031,0.815579,0.950089,0.904142666667,0.824005333333,0.806229666667,0.910036333333,0.808904666667,0.780197333333,0.810677666667,0.915733333333,0.908951666667,0.870657666667,0.789910333333,0.808018,0.869699,0.739958666667,0.883115,0.777061,0.79844,0.621907,0.896873666667,0.886111333333,0.947766,0.912697666667,0.762847333333,0.588155666667,0.850054333333,0.935358666667,0.7776,0.819429666667,0.875761,0.89505,0.896198333333,0.864398333333,0.871778,0.857357,0.868099,0.879210666667,0.919877666667,0.928124333333,0.830036,0.928829666667,0.776607,0.828690666667,0.900653,0.716603666667,0.884811,0.855191666667,0.932752666667,0.840606333333,0.811159333333,0.779192666667,0.843481666667,0.817894333333,0.761359333333,0.887448,0.932688666667,0.911641,0.821054,0.819784,0.882052333333,0.754048,0.806861,0.807429,0.836123,0.857920666667,0.798078333333,0.783209,0.879117333333,0.933356666667,0.866986333333,0.902643,0.975752,0.674926333333,0.761382,0.817743,0.909846333333,0.856308,0.910398333333,0.856500333333,0.822822,0.919054666667,0.902217333333,0.942057333333,0.903329666667,0.882333,0.888875,0.868675666667,0.778003666667,0.895206666667,0.908806666667,0.933427,0.890358,0.907123666667
layer1_binaryECFP_GbtreeLogistic_ROCAUC_std,0.0244479625463,0.0181280079987,0.00329091247056,0.00312827886651,0.00770157080659,0.0186599237643,0.0056883521535,0.0902171451752,0.0220606790618,0.00242438404548,0.012528013951,0.0198752268638,0.00341570090416,0.0147277154221,0.00840502493882,0.00558052112262,0.00945260856413,0.000913123698569,0.00647826092919,0.00420965812811,0.00681177602881,0.00263662111212,0.00220043874413,0.00217243585764,0.00312161457511,0.00363455062177,0.00695076688015,0.00551072556223,0.0218765948041,0.00128004175279,0.0196418880683,0.0137144724288,0.0176909041224,0.00528471784173,0.00823255638709,0.00715612652829,0.00693736137799,0.065495554034,0.0196177718805,0.00108657883081,0.0197342808556,0.0164762234009,0.00335923268355,0.00643898182082,0.00329734543063,0.00454086866384,0.00652718841973,0.00585727513439,0.0145272364276,0.00368962030567,0.00149458288495,0.0150055394438,0.00945890293145,0.00505934016339,0.00205091220897,0.030780859453,0.00426386149973,0.00666242204874,0.013253147056,0.0106892640948,0.0111301830573,0.00394666855293,0.0205187904506,0.0122560558365,0.00302063646715,0.0357159916128,0.0124627346473,0.00203738083496,0.00510471788316,0.0120127559147,0.00392277166753,0.00101199780413,0.00253721859961,0.0370398514396,0.00100437918913,0.00932492641615,0.00130032440397,0.0087011148711,0.00632767520939,0.00263017008322,0.0200620609166,0.0030742158169,0.02185929455,0.00467823929368,0.012476389337,0.0126952187675,0.0311199711047,0.0334124775529,0.00347206365149,0.00106499963485,0.0189118453004,0.00630404885768,0.0492315323345,0.0193384665427,0.016208047713,0.00735928243785,0.0043266964303,0.00734416180831,0.00971775784611,0.0510638452027,0.00363311133878,0.0100827124106,0.00884981921975,0.0036505241024,0.0115223506572,0.0176224674965,0.0424331302666,0.0470536612036,0.00196744368831,0.00645277332281,0.0279516103412,0.0270037638652,0.017393173859,0.0117162117882,0.00240864281749,0.00655899658654,0.00553799345933,0.00510433869914,0.0165446415696,0.00471670994091,0.00959160192854,0.013849443631,0.00151938898538,0.0143178402779,0.0253982178246,0.0108453929697,0.00692627251044
layer1_contECFP_GbtreeRegression_ROCAUC_mean,0.698137,0.901825666667,0.838547666667,0.927330333333,0.870127333333,0.735722666667,0.946797333333,0.899830666667,0.941994333333,0.915571,0.873220333333,0.932598,0.780363666667,0.899687,0.724751333333,0.879233,0.917851666667,0.812355,0.77914,0.785019333333,0.864498333333,0.890080666667,0.822821,0.79643,0.852429666667,0.915434666667,0.687092333333,0.835362666667,0.881592333333,0.953053333333,0.643651,0.880334333333,0.793158666667,0.853075666667,0.933290666667,0.904651333333,0.871416,0.739737,0.928806,0.808947,0.812294666667,0.838822,0.944063333333,0.932945,0.888234,0.837577333333,0.833070333333,0.877154333333,0.817387666667,0.834728333333,0.837914,0.818876333333,0.685430333333,0.895075666667,0.901946,0.950806333333,0.903018333333,0.830081333333,0.619123333333,0.866079666667,0.932383,0.816417333333,0.872197,0.89352,0.903761333333,0.68042,0.859287,0.869767,0.897094,0.896705333333,0.911498,0.915349666667,0.917947666667,0.887260333333,0.927921666667,0.855931666667,0.827058666667,0.902801666667,0.875030666667,0.888374333333,0.890888,0.940858,0.608132666667,0.826835333333,0.810932,0.891762666667,0.890085,0.879279,0.914671666667,0.932320666667,0.896175,0.852419333333,0.808005,0.807948333333,0.718060666667,0.914398,0.857724333333,0.858465,0.884871333333,0.916994,0.796899666667,0.868723,0.939171666667,0.871239333333,0.927801,0.964077666667,0.834597666667,0.760508666667,0.855682333333,0.914817,0.898037,0.947755,0.922708666667,0.851039,0.91584,0.912802666667,0.921707,0.869548666667,0.887797,0.896896666667,0.895092,0.912025333333,0.920544666667,0.919358333333,0.933336333333,0.895652333333,0.920609
layer1_contECFP_GbtreeRegression_ROCAUC_std,0.0157349976803,0.00384466438356,0.00242181493008,0.0196622329918,0.0133084218281,0.0072060882284,0.00424914958812,0.0454870004898,0.00330246900902,0.00260748192707,0.00299329966573,0.013144411436,0.0112252166819,0.00728624608423,0.00201462425501,0.00465268295359,0.00504851293837,0.000786611721245,0.0105714103443,0.0106986591476,0.00710293110077,0.000334624499336,0.00164901243173,0.00725524228863,0.00822263478995,0.00401181790326,0.0180377545227,0.00498419731641,0.027956076672,0.00259705735187,0.0324509495804,0.00844193490196,0.00580355904214,0.00170382028265,0.00633676796342,0.00707616046235,0.00615938573777,0.0579316679603,0.0392695297994,0.00125064649948,0.0325868461943,0.0484669979333,0.00455935736212,0.00911235304408,0.0200756446638,0.00228630886413,0.0167890514787,0.00795164739046,0.0410167563347,0.00295008523417,0.004453880181,0.00868049370076,0.0103318666378,0.00531213280038,0.00327627664685,0.0367698576403,0.00943375748163,0.00217137089314,0.00913344857592,0.00796649686012,0.00895933304809,0.00181794212107,0.0219255890229,0.0120086236514,0.00674242915342,0.0311261505169,0.0122082785846,0.00242248068448,0.00244013169044,0.00854131380735,0.0101612422797,0.00217045637802,0.0107483510156,0.0350248673596,0.000140753527684,0.0126862035386,0.00189339630177,0.0140716081368,0.0425972976008,0.00361746304596,0.00620340702088,0.00278916702022,0.0168418558228,0.00131056154207,0.0115434450952,0.0143023362738,0.0580889483866,0.0254392319197,0.00590234672727,0.000650401585347,0.012442379917,0.0152842275202,0.0526514063883,0.0525271558043,0.0330252965097,0.0171190661155,0.00565866782516,0.00858842014964,0.00843555974564,0.0680025076743,0.00786536306996,0.0295016947423,0.00591304238292,0.00577854914509,0.0152358107322,0.0193653584928,0.0478172163579,0.0263111390522,0.00485079390982,0.00301070833305,0.00242210005298,0.00752432149765,0.0106048480213,0.0047993529425,0.000868826027848,0.0126028980882,0.00419919492284,0.0108689439638,0.0204406025841,0.0022589738575,0.0138310754704,0.0166186040395,0.00425387904023,0.00275835909354,0.0127156712061,0.0253531518269,0.0185935000112
layer1_binaryMACCSkeys_GbtreeLogistic_ROCAUC_mean,0.711487666667,0.752881666667,0.789408666667,0.954671,0.847795333333,0.749442333333,0.901731,0.854098,0.843717,0.943941666667,0.833279333333,0.861415,0.710931,0.836796666667,0.730751,0.855459333333,0.878268666667,0.792103333333,0.746257333333,0.741588666667,0.826647,0.855548333333,0.753906,0.751620666667,0.845613333333,0.895351333333,0.689357,0.812272,0.857115333333,0.956361333333,0.571356,0.823491333333,0.764424,0.796663333333,0.954286666667,0.893015333333,0.814034,0.793039,0.887217666667,0.784845333333,0.76291,0.826558666667,0.91007,0.888174,0.87322,0.780815666667,0.802828666667,0.846157,0.754943666667,0.87357,0.772603666667,0.814683,0.629304,0.878257333333,0.878325,0.944662333333,0.900493,0.761326,0.585900333333,0.847414666667,0.927812,0.759715,0.809649333333,0.826592,0.866951333333,0.886942666667,0.869257333333,0.848304,0.853307,0.857493333333,0.881746,0.893609333333,0.929064666667,0.850294666667,0.909127666667,0.790859,0.807265,0.887163666667,0.726266,0.865085,0.823876333333,0.923032,0.842308,0.782631,0.787145,0.840993666667,0.793987666667,0.845737333333,0.888972,0.910863333333,0.896673,0.838922,0.770107,0.849112,0.741653,0.797531666667,0.804679,0.824091333333,0.846228666667,0.787265333333,0.762232,0.884464,0.928108,0.851695666667,0.896942333333,0.952213666667,0.705185666667,0.740678333333,0.802135333333,0.906698,0.858504,0.905096666667,0.889813,0.815825333333,0.909394333333,0.888512,0.940498333333,0.893285,0.856473,0.878319,0.867176,0.785752333333,0.888381666667,0.890455,0.911094666667,0.868125333333,0.889586333333
layer1_binaryMACCSkeys_GbtreeLogistic_ROCAUC_std,0.0150456563462,0.0398121760632,0.00194837117157,0.00401725304157,0.00965149398913,0.0137695655786,0.00731750262499,0.086939041924,0.017970513237,0.00233617070343,0.0131314745131,0.0192889669155,0.00642606338801,0.019272572261,0.00909855211925,0.00913700791045,0.00645572930728,0.00191064131176,0.00391002986633,0.00676006372422,0.0111178074577,0.00422837536439,0.00705960513532,0.00875993684655,0.00558983686902,0.00353848190927,0.0142169979954,0.00401734597299,0.0130318182495,0.00321653077433,0.0212392647864,0.00734149868139,0.0144601162513,0.00548270403684,0.00624647603765,0.00548835617973,0.00457280861907,0.0319834201111,0.0119623410288,0.00180164764097,0.00119060572819,0.0125091460229,0.000943909953332,0.00947409439823,0.0197253295199,0.000568339296156,0.0157697548984,0.00353031669967,0.00835140037492,0.000410829242711,0.00593870548932,0.00932258379778,0.0153399771404,0.0023701309856,0.00720384041097,0.0345491446043,0.00139411549019,0.0045336423179,0.0305915225984,0.00547317533268,0.0165874101053,0.00532595537596,0.0173035076277,0.0172415627095,0.0021159750051,0.0570045710467,0.0266548286099,0.003336338512,0.00520595242647,0.00570019095197,0.00578223434323,0.00325090698455,0.00501725026506,0.0479898651268,0.00228135768543,0.0103758722364,0.000183244827121,0.0107224196378,0.0121378411864,0.00171783953461,0.00979425220332,0.00439901966352,0.00455697275246,0.00451186354699,0.0103438403249,0.0125155419734,0.024446483869,0.00678873229861,0.00492486487124,0.002145751513,0.00266417566988,0.010663944611,0.0393496549498,0.0058064568083,0.0225419527696,0.0377184617955,0.00596680132064,0.00267358739441,0.00675257493274,0.0765511807021,0.00610535933968,0.00741626217624,0.0076105269638,0.00446809745741,0.0225895835926,0.0165426048399,0.0562990724277,0.0387727481988,0.00870139078283,0.00253218574885,0.0130133790641,0.0152061482595,0.00945004807748,0.00829143390628,0.00308452398633,0.0170411285033,0.00208559029747,0.0120294908731,0.0190754529697,0.00353879791266,0.0049549341738,0.0186689023483,0.0114900073784,0.0161253783211,0.0227515234118,0.01056509187,0.00232670085935
layer1_contMACCSkeys_GbtreeRegression_ROCAUC_mean,0.709876666667,0.825036333333,0.808493333333,0.935182333333,0.857387333333,0.737262,0.922646,0.917978,0.935499,0.929502333333,0.847390333333,0.902575333333,0.752807,0.895642,0.708687,0.848310333333,0.892592333333,0.790522,0.770093666667,0.771856,0.844242666667,0.865673333333,0.796258333333,0.771324333333,0.844518333333,0.907778666667,0.669037,0.827584666667,0.879346333333,0.937316666667,0.636304,0.855588666667,0.804655333333,0.818231666667,0.943686,0.882366333333,0.842915,0.720327,0.906798,0.786137333333,0.797310666667,0.856639666667,0.939604333333,0.934949666667,0.878630333333,0.813565666667,0.807291333333,0.843764,0.805836333333,0.814406,0.814815666667,0.820587333333,0.687189,0.871290666667,0.880036,0.971709666667,0.882980666667,0.79868,0.625698333333,0.855373333333,0.923828,0.789367666667,0.857061666667,0.869569333333,0.880508333333,0.796293666667,0.852619333333,0.842799,0.874833,0.876849333333,0.900341666667,0.892975,0.909913333333,0.918415333333,0.907752333333,0.835060333333,0.806482666667,0.882523666667,0.833277,0.875171666667,0.862574,0.928784,0.663370666667,0.796864666667,0.823685666667,0.875030666667,0.854785,0.879271,0.912042666667,0.911194333333,0.907339,0.858239,0.824051666667,0.798585,0.720990666667,0.916386666667,0.839292666667,0.827185666667,0.874768,0.932193666667,0.775476666667,0.881246333333,0.936794666667,0.857443,0.903047333333,0.970156333333,0.8648,0.769133333333,0.828454,0.894289,0.873581,0.940094,0.922924,0.844373,0.907946333333,0.910917333333,0.924355333333,0.876373333333,0.852997666667,0.886198666667,0.897051333333,0.870299,0.907311333333,0.903401666667,0.912886666667,0.868507,0.910378
